date,price1,price2,signal,position,shares1,shares2,cash,position_value,portfolio_value,commission_paid,borrow_cost,total_commission,total_borrow_cost,returns,cumulative_returns
2011-05-23,26.261981964111328,18.69045829772949,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-24,26.06941032409668,18.514131546020508,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-25,26.126474380493164,18.659791946411133,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-26,25.812639236450195,18.636795043945312,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-27,25.6771183013916,18.59080696105957,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,25.876829147338867,18.506467819213867,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,25.249174118041992,18.184484481811523,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-02,25.028057098388672,18.08481788635254,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-03,24.699970245361328,17.939159393310547,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-06,24.457462310791016,17.532852172851562,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-07,24.485990524291992,17.624847412109375,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-08,24.32194900512696,17.417850494384766,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-09,24.485990524291992,17.456188201904297,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
