date,spread_raw,spread_filtered,P,K,z_score,signal,position
2011-07-18,-1.0238055319410493,-1.0360964750726833,0.002640585934374057,0.2640585934374056,0.5335794050273039,NEUTRAL,0
2011-07-19,-1.069437517885424,-1.0372754009695566,0.002640585934374057,0.2640585934374056,0.5323529705397646,NEUTRAL,0
2011-07-20,-1.0128202405420517,-1.0231840665289604,0.002640585934374057,0.2640585934374056,0.5470121603830231,NEUTRAL,0
2011-07-21,-1.0173404434618907,-1.0141109724303539,0.002640585934374057,0.2640585934374056,0.5564508838352213,NEUTRAL,0
2011-07-22,-0.978244646545789,-0.9971768983108985,0.002640585934374057,0.2640585934374056,0.5740673706472684,NEUTRAL,0
2011-07-25,-0.9661541727517755,-0.9816464433438153,0.002640585934374057,0.2640585934374056,0.5902236749827022,NEUTRAL,0
2011-07-26,-1.0264605918345842,-0.9862556617177666,0.002640585934374057,0.2640585934374056,0.5854287134084364,NEUTRAL,0
2011-07-27,-1.0217097509728692,-0.9883593548689242,0.002640585934374057,0.2640585934374056,0.5832402452115608,NEUTRAL,0
2011-07-28,-0.944739815135681,-0.9695674948224616,0.002640585934374057,0.2640585934374056,0.6027893833780229,NEUTRAL,0
2011-07-29,-0.9261619401685781,-0.9509704364542165,0.002640585934374057,0.2640585934374056,0.622135869709429,NEUTRAL,0
2011-08-01,-0.8961086353720158,-0.9294851212209723,0.002640585934374057,0.2640585934374056,0.644487004456399,NEUTRAL,0
2011-08-02,-0.90179484186995,-0.9153327991287488,0.002640585934374057,0.2640585934374056,0.6592096396438206,NEUTRAL,0
2011-08-03,-0.8845434382736301,-0.9004662907318725,0.002640585934374057,0.2640585934374056,0.6746752415578852,NEUTRAL,0
2011-08-04,-0.9498473940270884,-0.9068788911247603,0.002640585934374057,0.2640585934374056,0.6680042249168011,NEUTRAL,0
2011-08-05,-1.0143788566535128,-0.9285910835496894,0.002640585934374057,0.2640585934374056,0.6454170702358757,NEUTRAL,0
2011-08-08,-0.9041523179381383,-0.9153039311954664,0.002640585934374057,0.2640585934374056,0.6592396709028296,NEUTRAL,0
2011-08-09,-0.8928534674106623,-0.902639592680871,0.002640585934374057,0.2640585934374056,0.6724143594539652,NEUTRAL,0
2011-08-10,-0.8413198373054396,-0.8798046858119423,0.002640585934374057,0.2640585934374056,0.6961694719492296,NEUTRAL,0
2011-08-11,-0.8870674880774807,-0.8752476441828263,0.002640585934374057,0.2640585934374056,0.7009101541498018,NEUTRAL,0
2011-08-12,-0.9170429210048514,-0.8798427363692721,0.002640585934374057,0.2640585934374056,0.6961298880229598,NEUTRAL,0
2011-08-15,-0.8760941028055278,-0.8723777504535427,0.002640585934374057,0.2640585934374056,0.7038956994283486,NEUTRAL,0
2011-08-16,-0.8142155770694073,-0.8505993396712385,0.002640585934374057,0.2640585934374056,0.7265517409472071,NEUTRAL,0
2011-08-17,-0.7928038185539652,-0.8290780229134407,0.002640585934374057,0.2640585934374056,0.7489403280153395,NEUTRAL,0
2011-08-18,-0.8030547815229818,-0.8161048339318635,0.002640585934374057,0.2640585934374056,0.7624363131511067,SHORT,-1
2011-08-19,-0.7789431939467244,-0.800285930153697,0.002640585934374057,0.2640585934374056,0.7788926902652796,HOLD_SHORT,-1
2011-08-22,-0.7848819383773806,-0.7903287382210259,0.002640585934374057,0.2640585934374056,0.7892511391021957,HOLD_SHORT,-1
2011-08-23,-0.8201731911581827,-0.7923930660529881,0.002640585934374057,0.2640585934374056,0.7871036225759911,HOLD_SHORT,-1
2011-08-24,-0.7575138838553239,-0.7773513695858111,0.002640585934374057,0.2640585934374056,0.8027514723241155,HOLD_SHORT,-1
2011-08-25,-0.7602240765680959,-0.7671079100788994,0.002640585934374057,0.2640585934374056,0.8134077248030112,HOLD_SHORT,-1
2011-08-26,-0.7698243675570309,-0.7621797492764197,0.002640585934374057,0.2640585934374056,0.8185344816113322,HOLD_SHORT,-1
